"coverage_month","appkey","total_policies","start_policies","new_policies","termed_policies","retention"
"2020-01-01","mobile@webapp",5,NULL,5,0,NULL
"2020-02-01","mobile@webapp",359,5,354,23,1.000
"2020-03-01","mobile@webapp",865,359,529,108,0.936
"2020-04-01","mobile@webapp",1024,865,267,183,0.875
"2020-05-01","mobile@webapp",1153,1024,312,136,0.821
"2020-06-01","mobile@webapp",1571,1153,554,136,0.882
"2020-07-01","mobile@webapp",2249,1571,814,214,0.913
"2020-08-01","mobile@webapp",3152,2249,1117,308,0.905
"2020-09-01","mobile@webapp",4141,3152,1297,451,0.902
"2020-10-01","mobile@webapp",4758,4141,1068,287,0.891
"2020-11-01","mobile@webapp",5445,4758,974,489,0.940
"2020-12-01","mobile@webapp",5819,5445,863,640,0.910
"2021-01-01","mobile@webapp",6644,5819,1465,587,0.890
"2021-02-01","mobile@webapp",7511,6644,1454,648,0.912
"2021-03-01","mobile@webapp",8663,7511,1800,837,0.914
"2021-04-01","mobile@webapp",9658,8663,1832,837,0.903
"2021-05-01","mobile@webapp",10642,9658,1821,973,0.913
"2021-06-01","mobile@webapp",11378,10642,1709,1121,0.909
"2021-07-01","mobile@webapp",12112,11378,1855,1368,0.901
"2021-08-01","mobile@webapp",13272,12112,2528,1604,0.887
"2021-09-01","mobile@webapp",14084,13272,2416,1680,0.879
"2020-02-01","tsmb@android",39,NULL,39,5,NULL
"2020-03-01","tsmb@android",95,39,61,16,0.872
"2020-04-01","tsmb@android",144,95,65,29,0.832
"2020-05-01","tsmb@android",203,144,88,23,0.799
"2020-06-01","tsmb@android",248,203,68,27,0.887
"2020-07-01","tsmb@android",298,248,77,41,0.891
"2020-08-01","tsmb@android",319,298,62,50,0.862
"2020-09-01","tsmb@android",359,319,90,54,0.843
"2020-10-01","tsmb@android",404,359,99,25,0.850
"2020-11-01","tsmb@android",436,404,57,64,0.938
"2020-12-01","tsmb@android",422,436,50,53,0.853
"2021-01-01","tsmb@android",444,422,75,48,0.874
"2021-02-01","tsmb@android",478,444,82,47,0.892
"2021-03-01","tsmb@android",544,478,113,65,0.902
"2021-04-01","tsmb@android",606,544,127,88,0.881
"2021-05-01","tsmb@android",632,606,114,95,0.855
"2021-06-01","tsmb@android",677,632,140,91,0.850
"2021-07-01","tsmb@android",686,677,100,90,0.866
"2021-08-01","tsmb@android",724,686,128,85,0.869
"2021-09-01","tsmb@android",754,724,115,84,0.883
"2020-01-01","tsmb@ios",2,NULL,2,0,NULL
"2020-02-01","tsmb@ios",64,2,62,3,1.000
"2020-03-01","tsmb@ios",157,64,96,25,0.953
"2020-04-01","tsmb@ios",214,157,82,37,0.841
"2020-05-01","tsmb@ios",281,214,104,26,0.827
"2020-06-01","tsmb@ios",370,281,115,38,0.907
"2020-07-01","tsmb@ios",437,370,105,50,0.897
"2020-08-01","tsmb@ios",497,437,110,63,0.886
"2020-09-01","tsmb@ios",533,497,99,71,0.873
"2020-10-01","tsmb@ios",565,533,103,23,0.867
"2020-11-01","tsmb@ios",632,565,90,64,0.959
"2020-12-01","tsmb@ios",647,632,79,65,0.899
"2021-01-01","tsmb@ios",689,647,107,56,0.900
"2021-02-01","tsmb@ios",797,689,164,82,0.919
"2021-03-01","tsmb@ios",890,797,175,91,0.897
"2021-04-01","tsmb@ios",992,890,193,111,0.898
"2021-05-01","tsmb@ios",1103,992,222,137,0.888
"2021-06-01","tsmb@ios",1169,1103,203,146,0.876
"2021-07-01","tsmb@ios",1203,1169,180,140,0.875
"2021-08-01","tsmb@ios",1256,1203,193,152,0.884
"2021-09-01","tsmb@ios",1360,1256,256,159,0.879
"2020-01-01","vsmb@android",1,NULL,1,0,NULL
"2020-02-01","vsmb@android",4,1,3,0,1.000
"2020-03-01","vsmb@android",4,4,0,0,1.000
"2020-04-01","vsmb@android",4,4,0,0,1.000
"2020-05-01","vsmb@android",4,4,0,0,1.000
"2020-06-01","vsmb@android",4,4,0,0,1.000
"2020-07-01","vsmb@android",4,4,0,0,1.000
"2020-08-01","vsmb@android",4,4,0,0,1.000
"2020-09-01","vsmb@android",4,4,0,0,1.000
"2020-10-01","vsmb@android",4,4,0,0,1.000
"2020-11-01","vsmb@android",4,4,0,0,1.000
"2020-12-01","vsmb@android",4,4,0,1,1.000
"2021-01-01","vsmb@android",3,4,0,1,0.750
"2021-02-01","vsmb@android",4,3,2,2,0.667
"2021-03-01","vsmb@android",2,4,0,0,0.500
"2021-04-01","vsmb@android",2,2,0,0,1.000
"2021-05-01","vsmb@android",2,2,0,0,1.000
"2021-06-01","vsmb@android",2,2,0,1,1.000
"2021-07-01","vsmb@android",1,2,0,0,0.500
"2021-08-01","vsmb@android",1,1,0,0,1.000
"2021-09-01","vsmb@android",1,1,0,0,1.000
